feature,importance,cumulative_importance
NAME_TYPE_SUITE_Family,0,1.0
NAME_INCOME_TYPE_Commercial_associate,0,1.0
NAME_TYPE_SUITE_Unaccompanied,0,1.0
NAME_FAMILY_STATUS_Widow,0,1.0
NAME_HOUSING_TYPE_House_apartment,0,1.0
NAME_HOUSING_TYPE_Municipal_apartment,0,1.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0,1.0
FONDKAPREMONT_MODE_org_spec_account,0,1.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0,1.0
FONDKAPREMONT_MODE_reg_oper_spec_account,0,1.0
WALLSMATERIAL_MODE_Wooden,0,1.0
