         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:371(_num_samples)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\sklearn.py:715(__sklearn_tags__)
       10    0.001    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\shape_base.py:220(vstack)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\__init__.py:362(_get_ident)
     1890    0.001    0.000    0.001    0.000 {built-in method sys.audit}
     1220    0.001    0.000    0.001    0.000 {built-in method builtins.id}
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\lib\_arraysetops_impl.py:348(_unique1d)
        5    0.001    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\preprocessing\_label.py:176(__sklearn_tags__)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\__init__.py:881(cpu_affinity)
       25    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\externals\array_api_compat\numpy\_aliases.py:89(asarray)
       45    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\_array_api.py:331(get_namespace)
      520    0.001    0.000    0.001    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:3098(<genexpr>)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\_pswindows.py:935(create_time)
       20    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:459(__setstate__)
       10    0.001    0.000    0.001    0.000 {built-in method psutil_windows.proc_times}
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\pandas\core\frame.py:12617(values)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\psutil\_pswindows.py:1074(cpu_affinity_get)
       15    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\base.py:475(__sklearn_tags__)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:192(_np2d_to_np1d)
       20    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       60    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\pandas\core\internals\managers.py:1652(as_array)
      695    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
